,year,round,sum entrants,raceId,resultId,driverId,forename,surname,statusId,status
0,1950,1,23,,,,,,,
1,1950,2,21,,,,,,,
2,1950,3,35,,,,,,,
3,1950,4,18,,,,,,,
4,1950,5,14,,,,,,,
5,1950,6,20,,,,,,,
6,1950,7,29,,,,,,,
7,1951,1,21,,,,,,,
8,1951,2,34,,,,,,,
9,1951,3,13,,,,,,,
10,1951,4,26,,,,,,,
11,1951,5,20,,,,,,,
12,1951,6,22,,,,,,,
13,1951,7,23,,,,,,,
14,1951,8,20,,,,,,,
15,1952,1,22,,,,,,,
16,1952,2,33,,,,,,,
17,1952,3,22,,,,,,,
18,1952,4,22,,,,,,,
19,1952,5,32,,,,,,,
20,1952,6,30,,,,,,,
21,1952,7,19,,,,,,,
22,1952,8,35,,,,,,,
23,1953,1,17,,,,,,,
24,1953,2,47,,,,,,,
25,1953,3,20,,,,,,,
26,1953,4,21,,,,,,,
27,1953,5,25,,,,,,,
28,1953,6,27,,,,,,,
29,1953,7,36,,,,,,,
30,1953,8,22,,,,,,,
31,1953,9,31,,,,,,,
32,1954,1,18,,,,,,,
33,1954,2,55,,,,,,,
34,1954,3,15,,,,,,,
35,1954,4,22,,,,,,,
36,1954,5,34,,,,,,,
37,1954,6,24,,,,,,,
38,1954,7,17,,,,,,,
39,1954,8,22,,,,,,,
40,1954,9,23,,,,,,,
41,1955,1,35,,,,,,,
42,1955,2,26,,,,,,,
43,1955,3,35,,,,,,,
44,1955,4,17,,,,,,,
45,1955,5,16,,,,,,,
46,1955,6,28,,,,,,,
47,1955,7,23,,,,,,,
48,1956,1,16,,,,,,,
49,1956,2,21,,,,,,,
50,1956,3,34,,,,,,,
51,1956,4,16,,,,,,,
52,1956,5,22,,,,,,,
53,1956,6,30,,,,,,,
54,1956,7,22,,,,,,,
55,1956,8,29,,,,,,,
56,1957,1,17,,,,,,,
57,1957,2,23,,,,,,,
58,1957,3,33,,,,,,,
59,1957,4,16,,,,,,,
60,1957,5,22,,,,,,,
61,1957,6,24,,,,,,,
62,1957,7,16,,,,,,,
63,1957,8,20,,,,,,,
64,1958,1,10,,,,,,,
65,1958,2,31,,,,,,,
66,1958,3,18,,,,,,,
67,1958,4,33,,,,,,,
68,1958,5,19,,,,,,,
69,1958,6,22,,,,,,,
70,1958,7,20,,,,,,,
71,1958,8,26,,,,,,,
72,1958,9,15,,,,,,,
73,1958,10,22,,,,,,,
74,1958,11,25,,,,,,,
75,1959,1,24,,,,,,,
76,1959,2,33,,,,,,,
77,1959,3,15,,,,,,,
78,1959,4,22,,,,,,,
79,1959,5,30,,,,,,,
80,1959,6,15,,,,,,,
81,1959,7,16,,,,,,,
82,1959,8,21,,,,,,,
83,1959,9,19,,,,,,,
84,1960,1,23,,,,,,,
85,1960,2,24,,,,,,,
86,1960,3,33,,,,,,,
87,1960,4,21,,,,,,,
88,1960,5,19,,,,,,,
89,1960,6,23,,,,,,,
90,1960,7,25,,,,,,,
91,1960,8,15,,,,,,,
92,1960,9,17,,,,,,,
93,1960,10,23,,,,,,,
94,1961,1,21,,,,,,,
95,1961,2,17,,,,,,,
96,1961,3,26,,,,,,,
97,1961,4,31,,,,,,,
98,1961,5,32,,,,,,,
99,1961,6,33,,,,,,,
100,1961,7,39,,,,,,,
101,1961,8,21,,,,,,,
102,1962,1,22,,,,,,,
103,1962,2,24,,,,,,,
104,1962,3,26,,,,,,,
105,1962,4,22,,,,,,,
106,1962,5,26,,,,,,,
107,1962,6,31,,,,,,,
108,1962,7,31,,,,,,,
109,1962,8,20,,,,,,,
110,1962,9,21,,,,,,,
111,1963,1,25,,,,,,,
112,1963,2,24,,,,,,,
113,1963,3,21,,,,,,,
114,1963,4,24,,,,,,,
115,1963,5,26,,,,,,,
116,1963,6,29,,,,,,,
117,1963,7,33,,,,,,,
118,1963,8,24,,,,,,,
119,1963,9,25,,,,,,,
120,1963,10,23,,,,,,,
121,1964,1,23,,,,,,,
122,1964,2,18,,,,,,,
123,1964,3,18,,,,,,,
124,1964,4,17,,,,,,,
125,1964,5,25,,,,,,,
126,1964,6,23,,,,,,,
127,1964,7,20,,,,,,,
128,1964,8,24,,,,,,,
129,1964,9,20,,,,,,,
130,1964,10,19,,,,,,,
131,1965,1,31,,,,,,,
132,1965,2,17,,,,,,,
133,1965,3,19,,,,,,,
134,1965,4,17,,,,,,,
135,1965,5,23,,,,,,,
136,1965,6,17,,,,,,,
137,1965,7,21,,,,,,,
138,1965,8,23,,,,,,,
139,1965,9,18,,,,,,,
140,1965,10,19,,,,,,,
141,1966,1,16,,,,,,,
142,1966,2,18,,,,,,,
143,1966,3,17,,,,,,,
144,1966,4,20,,,,,,,
145,1966,5,17,,,,,,,
146,1966,6,19,695.0,16924.0,389.0,Guy,Ligier,1.0,Injury
147,1966,7,22,,,,,,,
148,1966,8,19,,,,,,,
149,1966,9,18,,,,,,,
150,1967,1,18,,,,,,,
151,1967,2,19,,,,,,,
152,1967,3,17,,,,,,,
153,1967,4,18,,,,,,,
154,1967,5,15,,,,,,,
155,1967,6,21,,,,,,,
156,1967,7,24,,,,,,,
157,1967,8,18,,,,,,,
158,1967,9,18,,,,,,,
159,1967,10,18,,,,,,,
160,1967,11,19,,,,,,,
161,1968,1,23,,,,,,,
162,1968,2,14,,,,,,,
163,1968,3,18,,,,,,,
164,1968,4,18,,,,,,,
165,1968,5,19,,,,,,,
166,1968,6,17,,,,,,,
167,1968,7,20,,,,,,,
168,1968,8,20,,,,,,,
169,1968,9,22,,,,,,,
170,1968,10,21,,,,,,,
171,1968,11,20,,,,,,,
172,1968,12,21,,,,,,,
173,1969,1,18,,,,,,,
174,1969,2,14,,,,,,,
175,1969,3,16,,,,,,,
176,1969,4,15,,,,,,,
177,1969,5,13,,,,,,,
178,1969,6,17,,,,,,,
179,1969,7,14,,,,,,,
180,1969,8,15,,,,,,,
181,1969,9,20,,,,,,,
182,1969,10,18,,,,,,,
183,1969,11,17,,,,,,,
184,1970,1,23,,,,,,,
185,1970,2,22,,,,,,,
186,1970,3,21,,,,,,,
187,1970,4,17,,,,,,,
188,1970,5,24,,,,,,,
189,1970,6,23,,,,,,,
190,1970,7,23,,,,,,,
191,1970,8,25,,,,,,,
192,1970,9,24,,,,,,,
193,1970,10,27,,,,,,,
194,1970,11,20,,,,,,,
195,1970,12,27,,,,,,,
196,1970,13,18,,,,,,,
197,1971,1,25,,,,,,,
198,1971,2,22,,,,,,,
199,1971,3,22,,,,,,,
200,1971,4,23,,,,,,,
201,1971,5,23,,,,,,,
202,1971,6,24,,,,,,,
203,1971,7,23,,,,,,,
204,1971,8,22,,,,,,,
205,1971,9,24,,,,,,,
206,1971,10,26,,,,,,,
207,1971,11,29,,,,,,,
208,1972,1,22,,,,,,,
209,1972,2,26,,,,,,,
210,1972,3,26,,,,,,,
211,1972,4,25,,,,,,,
212,1972,5,25,,,,,,,
213,1972,6,25,625.0,15464.0,337.0,Helmut,Marko,1.0,Eye injury
214,1972,7,26,,,,,,,
215,1972,8,27,,,,,,,
216,1972,9,25,,,,,,,
217,1972,10,27,,,,,,,
218,1972,11,24,,,,,,,
219,1972,12,31,,,,,,,
220,1973,1,19,,,,,,,
221,1973,2,20,,,,,,,
222,1973,3,25,,,,,,,
223,1973,4,22,,,,,,,
224,1973,5,23,,,,,,,
225,1973,6,25,,,,,,,
226,1973,7,21,,,,,,,
227,1973,8,25,,,,,,,
228,1973,9,29,,,,,,,
229,1973,10,24,,,,,,,
230,1973,11,22,,,,,,,
231,1973,12,23,,,,,,,
232,1973,13,25,,,,,,,
233,1973,14,26,,,,,,,
234,1973,15,28,,,,,,,
235,1974,1,25,,,,,,,
236,1974,2,25,,,,,,,
237,1974,3,27,,,,,,,
238,1974,4,27,,,,,,,
239,1974,5,32,,,,,,,
240,1974,6,28,,,,,,,
241,1974,7,27,,,,,,,
242,1974,8,27,,,,,,,
243,1974,9,30,,,,,,,
244,1974,10,34,,,,,,,
245,1974,11,32,,,,,,,
246,1974,12,31,,,,,,,
247,1974,13,31,,,,,,,
248,1974,14,30,,,,,,,
249,1974,15,30,,,,,,,
250,1975,1,23,,,,,,,
251,1975,2,23,,,,,,,
252,1975,3,28,,,,,,,
253,1975,4,26,,,,,,,
254,1975,5,26,,,,,,,
255,1975,6,24,,,,,,,
256,1975,7,26,,,,,,,
257,1975,8,25,,,,,,,
258,1975,9,26,,,,,,,
259,1975,10,28,,,,,,,
260,1975,11,26,,,,,,,
261,1975,12,30,,,,,,,
262,1975,13,28,,,,,,,
263,1975,14,24,,,,,,,
264,1976,1,22,,,,,,,
265,1976,2,25,,,,,,,
266,1976,3,27,,,,,,,
267,1976,4,30,,,,,,,
268,1976,5,29,,,,,,,
269,1976,6,25,,,,,,,
270,1976,7,27,,,,,,,
271,1976,8,30,,,,,,,
272,1976,9,30,,,,,,,
273,1976,10,28,,,,,,,
274,1976,11,25,,,,,,,
275,1976,12,27,,,,,,,
276,1976,13,29,,,,,,,
277,1976,14,27,,,,,,,
278,1976,15,27,,,,,,,
279,1976,16,26,,,,,,,
280,1977,1,21,,,,,,,
281,1977,2,22,,,,,,,
282,1977,3,23,,,,,,,
283,1977,4,22,,,,,,,
284,1977,5,31,547.0,13363.0,182.0,Niki,Lauda,1.0,Injured
285,1977,6,26,,,,,,,
286,1977,7,31,,,,,,,
287,1977,8,31,,,,,,,
288,1977,9,30,,,,,,,
289,1977,10,36,,,,,,,
290,1977,11,29,,,,,,,
291,1977,12,30,,,,,,,
292,1977,13,34,,,,,,,
293,1977,14,34,,,,,,,
294,1977,15,27,,,,,,,
295,1977,16,27,,,,,,,
296,1977,17,23,,,,,,,
297,1978,1,27,,,,,,,
298,1978,2,28,,,,,,,
299,1978,3,30,,,,,,,
300,1978,4,30,,,,,,,
301,1978,5,30,,,,,,,
302,1978,6,30,,,,,,,
303,1978,7,29,,,,,,,
304,1978,8,27,,,,,,,
305,1978,9,29,,,,,,,
306,1978,10,30,,,,,,,
307,1978,11,30,,,,,,,
308,1978,12,31,,,,,,,
309,1978,13,33,,,,,,,
310,1978,14,32,,,,,,,
311,1978,15,27,,,,,,,
312,1978,16,28,,,,,,,
313,1979,1,26,,,,,,,
314,1979,2,26,,,,,,,
315,1979,3,26,,,,,,,
316,1979,4,26,,,,,,,
317,1979,5,27,,,,,,,
318,1979,6,28,,,,,,,
319,1979,7,25,,,,,,,
320,1979,8,27,,,,,,,
321,1979,9,26,,,,,,,
322,1979,10,26,,,,,,,
323,1979,11,26,,,,,,,
324,1979,12,26,,,,,,,
325,1979,13,28,,,,,,,
326,1979,14,30,,,,,,,
327,1979,15,30,,,,,,,
328,1980,1,28,,,,,,,
329,1980,2,28,,,,,,,
330,1980,3,28,,,,,,,
331,1980,4,27,,,,,,,
332,1980,5,27,,,,,,,
333,1980,6,27,,,,,,,
334,1980,7,27,,,,,,,
335,1980,8,27,,,,,,,
336,1980,9,26,,,,,,,
337,1980,10,26,,,,,,,
338,1980,11,29,,,,,,,
339,1980,12,28,,,,,,,
340,1980,13,28,,,,,,,
341,1980,14,27,,,,,,,
342,1981,1,29,,,,,,,
343,1981,2,30,,,,,,,
344,1981,3,29,,,,,,,
345,1981,4,32,,,,,,,
346,1981,5,31,,,,,,,
347,1981,6,31,,,,,,,
348,1981,7,30,,,,,,,
349,1981,8,29,,,,,,,
350,1981,9,30,,,,,,,
351,1981,10,30,,,,,,,
352,1981,11,28,,,,,,,
353,1981,12,30,,,,,,,
354,1981,13,30,,,,,,,
355,1981,14,30,,,,,,,
356,1981,15,30,,,,,,,
357,1982,1,31,,,,,,,
358,1982,2,31,,,,,,,
359,1982,3,31,,,,,,,
360,1982,4,14,,,,,,,
361,1982,5,32,,,,,,,
362,1982,6,31,,,,,,,
363,1982,7,29,,,,,,,
364,1982,8,29,,,,,,,
365,1982,9,31,,,,,,,
366,1982,10,30,,,,,,,
367,1982,11,29,,,,,,,
368,1982,12,29,,,,,,,
369,1982,13,29,,,,,,,
370,1982,14,29,480.0,11481.0,175.0,Patrick,Tambay,1.0,Injury
371,1982,15,30,,,,,,,
372,1982,16,30,,,,,,,
373,1983,1,28,,,,,,,
374,1983,2,28,,,,,,,
375,1983,3,29,,,,,,,
376,1983,4,28,,,,,,,
377,1983,5,28,,,,,,,
378,1983,6,28,,,,,,,
379,1983,7,27,,,,,,,
380,1983,8,28,,,,,,,
381,1983,9,29,,,,,,,
382,1983,10,29,,,,,,,
383,1983,11,29,,,,,,,
384,1983,12,29,,,,,,,
385,1983,13,29,,,,,,,
386,1983,14,29,,,,,,,
387,1983,15,26,,,,,,,
388,1984,1,27,,,,,,,
389,1984,2,27,,,,,,,
390,1984,3,27,,,,,,,
391,1984,4,28,,,,,,,
392,1984,5,26,,,,,,,
393,1984,6,27,,,,,,,
394,1984,7,26,,,,,,,
395,1984,8,27,,,,,,,
396,1984,9,26,,,,,,,
397,1984,10,28,,,,,,,
398,1984,11,27,,,,,,,
399,1984,12,27,,,,,,,
400,1984,13,27,,,,,,,
401,1984,14,27,,,,,,,
402,1984,15,26,,,,,,,
403,1984,16,27,,,,,,,
404,1985,1,25,,,,,,,
405,1985,2,26,,,,,,,
406,1985,3,26,,,,,,,
407,1985,4,25,,,,,,,
408,1985,5,25,,,,,,,
409,1985,6,25,,,,,,,
410,1985,7,26,426.0,9997.0,95.0,Nigel,Mansell,1.0,Injury
411,1985,8,26,,,,,,,
412,1985,9,27,,,,,,,
413,1985,10,27,,,,,,,
414,1985,11,26,,,,,,,
415,1985,12,26,,,,,,,
416,1985,13,24,,,,,,,
417,1985,14,26,,,,,,,
418,1985,15,21,,,,,,,
419,1985,16,25,,,,,,,
420,1986,1,25,,,,,,,
421,1986,2,25,,,,,,,
422,1986,3,26,,,,,,,
423,1986,4,25,,,,,,,
424,1986,5,25,,,,,,,
425,1986,6,25,,,,,,,
426,1986,7,26,,,,,,,
427,1986,8,26,,,,,,,
428,1986,9,26,,,,,,,
429,1986,10,26,,,,,,,
430,1986,11,26,,,,,,,
431,1986,12,26,,,,,,,
432,1986,13,27,,,,,,,
433,1986,14,27,,,,,,,
434,1986,15,25,,,,,,,
435,1986,16,26,,,,,,,
436,1987,1,23,,,,,,,
437,1987,2,27,389.0,9037.0,137.0,Nelson,Piquet,1.0,Injury
438,1987,3,26,,,,,,,
439,1987,4,26,,,,,,,
440,1987,5,26,,,,,,,
441,1987,6,26,,,,,,,
442,1987,7,26,,,,,,,
443,1987,8,26,,,,,,,
444,1987,9,26,,,,,,,
445,1987,10,26,,,,,,,
446,1987,11,28,,,,,,,
447,1987,12,26,,,,,,,
448,1987,13,27,,,,,,,
449,1987,14,26,,,,,,,
450,1987,15,27,,,,,,,
451,1987,16,27,,,,,,,
452,1988,1,31,,,,,,,
453,1988,2,30,,,,,,,
454,1988,3,31,,,,,,,
455,1988,4,31,,,,,,,
456,1988,5,31,,,,,,,
457,1988,6,31,377.0,8674.0,122.0,Ivan,Capelli,1.0,Injured
458,1988,7,31,,,,,,,
459,1988,8,31,,,,,,,
460,1988,9,31,,,,,,,
461,1988,10,31,,,,,,,
462,1988,11,31,,,,,,,
463,1988,12,31,,,,,,,
464,1988,13,31,,,,,,,
465,1988,14,31,,,,,,,
466,1988,15,31,,,,,,,
467,1988,16,31,,,,,,,
468,1989,1,38,,,,,,,
469,1989,2,39,,,,,,,
470,1989,3,38,,,,,,,
471,1989,4,39,,,,,,,
472,1989,5,39,,,,,,,
473,1989,6,39,,,,,,,
474,1989,7,39,,,,,,,
475,1989,8,39,,,,,,,
476,1989,9,38,,,,,,,
477,1989,10,39,,,,,,,
478,1989,11,39,,,,,,,
479,1989,12,39,,,,,,,
480,1989,13,39,,,,,,,
481,1989,14,38,,,,,,,
482,1989,15,39,,,,,,,
483,1989,16,39,,,,,,,
484,1990,1,35,,,,,,,
485,1990,2,35,,,,,,,
486,1990,3,35,,,,,,,
487,1990,4,35,,,,,,,
488,1990,5,35,,,,,,,
489,1990,6,35,,,,,,,
490,1990,7,35,,,,,,,
491,1990,8,35,,,,,,,
492,1990,9,35,,,,,,,
493,1990,10,35,,,,,,,
494,1990,11,33,,,,,,,
495,1990,12,33,,,,,,,
496,1990,13,33,,,,,,,
497,1990,14,33,334.0,7486.0,151.0,Martin,Donnelly,1.0,Injured
498,1990,15,30,,,,,,,
499,1990,16,30,,,,,,,
500,1991,1,34,,,,,,,
501,1991,2,34,,,,,,,
502,1991,3,34,,,,,,,
503,1991,4,34,,,,,,,
504,1991,5,34,,,,,,,
505,1991,6,34,,,,,,,
506,1991,7,34,,,,,,,
507,1991,8,34,,,,,,,
508,1991,9,34,,,,,,,
509,1991,10,34,,,,,,,
510,1991,11,34,,,,,,,
511,1991,12,34,,,,,,,
512,1991,13,34,,,,,,,
513,1991,14,33,,,,,,,
514,1991,15,32,,,,,,,
515,1991,16,32,,,,,,,
516,1992,1,30,,,,,,,
517,1992,2,30,,,,,,,
518,1992,3,30,,,,,,,
519,1992,4,32,,,,,,,
520,1992,5,32,,,,,,,
521,1992,6,32,,,,,,,
522,1992,7,31,,,,,,,
523,1992,8,30,,,,,,,
524,1992,9,32,,,,,,,
525,1992,10,32,,,,,,,
526,1992,11,31,,,,,,,
527,1992,12,30,,,,,,,
528,1992,13,28,,,,,,,
529,1992,14,26,,,,,,,
530,1992,15,26,,,,,,,
531,1992,16,26,,,,,,,
532,1993,1,26,,,,,,,
533,1993,2,26,,,,,,,
534,1993,3,26,,,,,,,
535,1993,4,26,,,,,,,
536,1993,5,26,,,,,,,
537,1993,6,26,,,,,,,
538,1993,7,26,,,,,,,
539,1993,8,26,,,,,,,
540,1993,9,26,,,,,,,
541,1993,10,26,,,,,,,
542,1993,11,26,,,,,,,
543,1993,12,26,284.0,5894.0,70.0,Alessandro,Zanardi,1.0,Injury
544,1993,13,26,,,,,,,
545,1993,14,26,,,,,,,
546,1993,15,24,,,,,,,
